ID,Type,SKU,Name,Published,Featured,Visibility in catalog,Short description,Description,Tax status,Tax class,In stock?,Stock,Backorders allowed?,Sold individually?,Weight (kg),Length (cm),Width (cm),Height (cm),Allow customer reviews?,Purchase note,Sale price,Regular price,Categories,Tags,Shipping class,Images,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Position,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Meta: _wcj_product_price_by_user_role_enabled
,variation,MS-411-E-60X90-CM,Segnale di Corsie Chiuse Fig. 411/e,1,0,visible,,,taxable,,1,,0,0,,,,,1,,,40.94,Cantieristica,,,,,,MS-411-E,,,,,,0,Taglia,60×90 cm,1,1,
,variation,MS-411-E-90X135-CM,Segnale di Corsie Chiuse Fig. 411/e,1,0,visible,,,taxable,,1,,0,0,,,,,1,,,91.34,Cantieristica,,,,,,MS-411-E,,,,,,0,Taglia,90×135 cm,1,1,
,variable,MS-411-F,Segnale di Corsie Chiuse Fig. 411/f,1,0,visible,,,taxable,,1,,0,0,,,,,1,,,,Cantieristica,,,,,,,,,,,,0,Taglia,90×135 cm (v1)|90×135 cm (v2),1,1,
,variation,MS-411-F-90X135-CM-V1,Segnale di Corsie Chiuse Fig. 411/f,1,0,visible,,,taxable,,1,,0,0,,,,,1,,,40.94,Cantieristica,,,,,,MS-411-F,,,,,,0,Taglia,90×135 cm (v1),1,1,
,variation,MS-411-F-90X135-CM-V2,Segnale di Corsie Chiuse Fig. 411/f,1,0,visible,,,taxable,,1,,0,0,,,,,1,,,91.34,Cantieristica,,,,,,MS-411-F,,,,,,0,Taglia,90×135 cm (v2),1,1,
,variable,MS-411-G,Segnale di Corsie Chiuse Fig. 411/g,1,0,visible,,,taxable,,1,,0,0,,,,,1,,,,Cantieristica,,,,,,,,,,,,0,Taglia,60×90 cm|90×135 cm,1,1,
,variation,MS-411-G-60X90-CM,Segnale di Corsie Chiuse Fig. 411/g,1,0,visible,,,taxable,,1,,0,0,,,,,1,,,40.94,Cantieristica,,,,,,MS-411-G,,,,,,0,Taglia,60×90 cm,1,1,
,variation,MS-411-G-90X135-CM,Segnale di Corsie Chiuse Fig. 411/g,1,0,visible,,,taxable,,1,,0,0,,,,,1,,,91.34,Cantieristica,,,,,,MS-411-G,,,,,,0,Taglia,90×135 cm,1,1,
,variable,MS-412-A,Segnale di Carreggiata Chiusa Fig. 412/a,1,0,visible,,,taxable,,1,,0,0,,,,,1,,,,Cantieristica,,,,,,,,,,,,0,Taglia,60×90 cm|90×135 cm,1,1,
,variation,MS-412-A-60X90-CM,Segnale di Carreggiata Chiusa Fig. 412/a,1,0,visible,,,taxable,,1,,0,0,,,,,1,,,40.94,Cantieristica,,,,,,MS-412-A,,,,,,0,Taglia,60×90 cm,1,1,
,variation,MS-412-A-90X135-CM,Segnale di Carreggiata Chiusa Fig. 412/a,1,0,visible,,,taxable,,1,,0,0,,,,,1,,,91.34,Cantieristica,,,,,,MS-412-A,,,,,,0,Taglia,90×135 cm,1,1,
,variable,MS-411-A-DX,Segnale di Corsia Chiusa Destra Fig. 411/a dx,1,0,visible,,,taxable,,1,,0,0,,,,,1,,,,Cantieristica,,,,,,,,,,,,0,Taglia,60×90 cm|90×135 cm,1,1,
,variation,MS-411-A-DX-60X90-CM,Segnale di Corsia Chiusa Destra Fig. 411/a dx,1,0,visible,,,taxable,,1,,0,0,,,,,1,,,41.74,Cantieristica,,,,,,MS-411-A-DX,,,,,,0,Taglia,60×90 cm,1,1,
,variation,MS-411-A-DX-90X135-CM,Segnale di Corsia Chiusa Destra Fig. 411/a dx,1,0,visible,,,taxable,,1,,0,0,,,,,1,,,91.34,Cantieristica,,,,,,MS-411-A-DX,,,,,,0,Taglia,90×135 cm,1,1,
,variable,MS-411-A-SX,Segnale di Corsia Chiusa Sinistra Fig. 411/a sx,1,0,visible,,,taxable,,1,,0,0,,,,,1,,,,Cantieristica,,,,,,,,,,,,0,Taglia,60×90 cm|90×135 cm,1,1,
,variation,MS-411-A-SX-60X90-CM,Segnale di Corsia Chiusa Sinistra Fig. 411/a sx,1,0,visible,,,taxable,,1,,0,0,,,,,1,,,40.94,Cantieristica,,,,,,MS-411-A-SX,,,,,,0,Taglia,60×90 cm,1,1,
,variation,MS-411-A-SX-90X135-CM,Segnale di Corsia Chiusa Sinistra Fig. 411/a sx,1,0,visible,,,taxable,,1,,0,0,,,,,1,,,93.13,Cantieristica,,,,,,MS-411-A-SX,,,,,,0,Taglia,90×135 cm,1,1,
,variable,MS-411-B-DX,Segnale di Corsia Chiusa Destra Fig. 411/b dx,1,0,visible,,,taxable,,1,,0,0,,,,,1,,,,Cantieristica,,,,,,,,,,,,0,Taglia,60×90 cm|90×135 cm,1,1,
,variation,MS-411-B-DX-60X90-CM,Segnale di Corsia Chiusa Destra Fig. 411/b dx,1,0,visible,,,taxable,,1,,0,0,,,,,1,,,40.94,Cantieristica,,,,,,MS-411-B-DX,,,,,,0,Taglia,60×90 cm,1,1,
,variation,MS-411-B-DX-90X135-CM,Segnale di Corsia Chiusa Destra Fig. 411/b dx,1,0,visible,,,taxable,,1,,0,0,,,,,1,,,91.34,Cantieristica,,,,,,MS-411-B-DX,,,,,,0,Taglia,90×135 cm,1,1,
,variable,MS-407,Targa Segnali di Direzione Fig. 407,1,0,visible,,,taxable,,1,,0,0,,,,,1,,,,Cantieristica,,,,,,,,,,,,0,Taglia,130×30 cm|150×40 cm,1,1,
,variation,MS-407-130X30-CM,Targa Segnali di Direzione Fig. 407,1,0,visible,,,taxable,,1,,0,0,,,,,1,,,37.56,Cantieristica,,,,,,MS-407,,,,,,0,Taglia,130×30 cm,1,1,
,variation,MS-407-150X40-CM,Targa Segnali di Direzione Fig. 407,1,0,visible,,,taxable,,1,,0,0,,,,,1,,,55.32,Cantieristica,,,,,,MS-407,,,,,,0,Taglia,150×40 cm,1,1,
,variable,MS-408-A,Targa Preavviso di Intersezione Fig. 408/a,1,0,visible,,,taxable,,1,,0,0,,,,,1,,,,Cantieristica,,,,,,,,,,,,0,Taglia,40×60 cm|60×90 cm|90×135 cm,1,1,
,variation,MS-408-A-40X60-CM,Targa Preavviso di Intersezione Fig. 408/a,1,0,visible,,,taxable,,1,,0,0,,,,,1,,,18.29,Cantieristica,,,,,,MS-408-A,,,,,,0,Taglia,40×60 cm,1,1,
,variation,MS-408-A-60X90-CM,Targa Preavviso di Intersezione Fig. 408/a,1,0,visible,,,taxable,,1,,0,0,,,,,1,,,40.94,Cantieristica,,,,,,MS-408-A,,,,,,0,Taglia,60×90 cm,1,1,
,variation,MS-408-A-90X135-CM,Targa Preavviso di Intersezione Fig. 408/a,1,0,visible,,,taxable,,1,,0,0,,,,,1,,,91.34,Cantieristica,,,,,,MS-408-A,,,,,,0,Taglia,90×135 cm,1,1,
,variable,MS-TARGA-PREAVVISO-DI,Targa Preavviso di Intersezione Fig. 408/b,1,0,visible,,,taxable,,1,,0,0,,,,,1,,,,Segnaletica Verticale,,,,,,,,,,,,0,Taglia,40×60 cm|60×90 cm|90×135 cm,1,1,
,variation,MS-TARGA-PREAVVISO-DI-40X60-CM,Targa Preavviso di Intersezione Fig. 408/b,1,0,visible,,,taxable,,1,,0,0,,,,,1,,,18.29,Segnaletica Verticale,,,,,,MS-TARGA-PREAVVISO-DI,,,,,,0,Taglia,40×60 cm,1,1,
,variation,MS-TARGA-PREAVVISO-DI-60X90-CM,Targa Preavviso di Intersezione Fig. 408/b,1,0,visible,,,taxable,,1,,0,0,,,,,1,,,40.94,Segnaletica Verticale,,,,,,MS-TARGA-PREAVVISO-DI,,,,,,0,Taglia,60×90 cm,1,1,
,variation,MS-TARGA-PREAVVISO-DI-90X135-CM,Targa Preavviso di Intersezione Fig. 408/b,1,0,visible,,,taxable,,1,,0,0,,,,,1,,,91.34,Segnaletica Verticale,,,,,,MS-TARGA-PREAVVISO-DI,,,,,,0,Taglia,90×135 cm,1,1,
,variable,MS-TARGA-PREAVVISO-DEVIAZIONE,Targa Preavviso Deviazione Autocarri Obbligatoria Fig. 409/a,1,0,visible,,,taxable,,1,,0,0,,,,,1,,,,Segnaletica Verticale,,,,,,,,,,,,0,Taglia,40×60 cm|60×90 cm|90×135 cm,1,1,
,variation,MS-TARGA-PREAVVISO-DEVIAZIONE-40X60-CM,Targa Preavviso Deviazione Autocarri Obbligatoria Fig. 409/a,1,0,visible,,,taxable,,1,,0,0,,,,,1,,,18.29,Segnaletica Verticale,,,,,,MS-TARGA-PREAVVISO-DEVIAZIONE,,,,,,0,Taglia,40×60 cm,1,1,
,variation,MS-TARGA-PREAVVISO-DEVIAZIONE-60X90-CM,Targa Preavviso Deviazione Autocarri Obbligatoria Fig. 409/a,1,0,visible,,,taxable,,1,,0,0,,,,,1,,,44.85,Segnaletica Verticale,,,,,,MS-TARGA-PREAVVISO-DEVIAZIONE,,,,,,0,Taglia,60×90 cm,1,1,
,variation,MS-TARGA-PREAVVISO-DEVIAZIONE-90X135-CM,Targa Preavviso Deviazione Autocarri Obbligatoria Fig. 409/a,1,0,visible,,,taxable,,1,,0,0,,,,,1,,,91.34,Segnaletica Verticale,,,,,,MS-TARGA-PREAVVISO-DEVIAZIONE,,,,,,0,Taglia,90×135 cm,1,1,
,variable,MS-TARGA-DIREZIONE-AUTOCARRI,Targa Direzione Autocarri Obbligatoria Fig. 409/b,1,0,visible,,,taxable,,1,,0,0,,,,,1,,,,Segnaletica Verticale,,,,,,,,,,,,0,Taglia,40×60 cm|60×90 cm|90×135 cm,1,1,
,variation,MS-TARGA-DIREZIONE-AUTOCARRI-40X60-CM,Targa Direzione Autocarri Obbligatoria Fig. 409/b,1,0,visible,,,taxable,,1,,0,0,,,,,1,,,44.85,Segnaletica Verticale,,,,,,MS-TARGA-DIREZIONE-AUTOCARRI,,,,,,0,Taglia,40×60 cm,1,1,
,variation,MS-TARGA-DIREZIONE-AUTOCARRI-60X90-CM,Targa Direzione Autocarri Obbligatoria Fig. 409/b,1,0,visible,,,taxable,,1,,0,0,,,,,1,,,40.94,Segnaletica Verticale,,,,,,MS-TARGA-DIREZIONE-AUTOCARRI,,,,,,0,Taglia,60×90 cm,1,1,
,variation,MS-TARGA-DIREZIONE-AUTOCARRI-90X135-CM,Targa Direzione Autocarri Obbligatoria Fig. 409/b,1,0,visible,,,taxable,,1,,0,0,,,,,1,,,91.34,Segnaletica Verticale,,,,,,MS-TARGA-DIREZIONE-AUTOCARRI,,,,,,0,Taglia,90×135 cm,1,1,
,variable,MS-TARGA-PREAVVISO-DEVIAZIONE-2,Targa Preavviso Deviazione Autocarri Consigliata Fig. 410/a,1,0,visible,,,taxable,,1,,0,0,,,,,1,,,,Segnaletica Verticale,,,,,,,,,,,,0,Taglia,40×60 cm|60×90 cm|90×135 cm,1,1,
,variation,MS-TARGA-PREAVVISO-DEVIAZIONE-2-40X60-CM,Targa Preavviso Deviazione Autocarri Consigliata Fig. 410/a,1,0,visible,,,taxable,,1,,0,0,,,,,1,,,18.29,Segnaletica Verticale,,,,,,MS-TARGA-PREAVVISO-DEVIAZIONE-2,,,,,,0,Taglia,40×60 cm,1,1,
,variation,MS-TARGA-PREAVVISO-DEVIAZIONE-2-60X90-CM,Targa Preavviso Deviazione Autocarri Consigliata Fig. 410/a,1,0,visible,,,taxable,,1,,0,0,,,,,1,,,40.94,Segnaletica Verticale,,,,,,MS-TARGA-PREAVVISO-DEVIAZIONE-2,,,,,,0,Taglia,60×90 cm,1,1,
,variation,MS-TARGA-PREAVVISO-DEVIAZIONE-2-90X135-CM,Targa Preavviso Deviazione Autocarri Consigliata Fig. 410/a,1,0,visible,,,taxable,,1,,0,0,,,,,1,,,91.34,Segnaletica Verticale,,,,,,MS-TARGA-PREAVVISO-DEVIAZIONE-2,,,,,,0,Taglia,90×135 cm,1,1,
,variable,MS-TARGA-DIREZIONE-AUTOCARRI-2,Targa Direzione Autocarri Consigliata Fig. 410/b,1,0,visible,,,taxable,,1,,0,0,,,,,1,,,,Segnaletica Verticale,,,,,,,,,,,,0,Taglia,40×60 cm|60×90 cm|90×135 cm,1,1,
,variation,MS-TARGA-DIREZIONE-AUTOCARRI-2-40X60-CM,Targa Direzione Autocarri Consigliata Fig. 410/b,1,0,visible,,,taxable,,1,,0,0,,,,,1,,,18.29,Segnaletica Verticale,,,,,,MS-TARGA-DIREZIONE-AUTOCARRI-2,,,,,,0,Taglia,40×60 cm,1,1,
,variation,MS-TARGA-DIREZIONE-AUTOCARRI-2-60X90-CM,Targa Direzione Autocarri Consigliata Fig. 410/b,1,0,visible,,,taxable,,1,,0,0,,,,,1,,,40.94,Segnaletica Verticale,,,,,,MS-TARGA-DIREZIONE-AUTOCARRI-2,,,,,,0,Taglia,60×90 cm,1,1,
,variation,MS-TARGA-DIREZIONE-AUTOCARRI-2-90X135-CM,Targa Direzione Autocarri Consigliata Fig. 410/b,1,0,visible,,,taxable,,1,,0,0,,,,,1,,,91.34,Segnaletica Verticale,,,,,,MS-TARGA-DIREZIONE-AUTOCARRI-2,,,,,,0,Taglia,90×135 cm,1,1,
,variable,MS-TARGA-USO-CORSIE,Targa Uso Corsie Disponibili Fig. 414,1,0,visible,,,taxable,,1,,0,0,,,,,1,,,,Segnaletica Verticale,,,,,,,,,,,,0,Taglia,40×60 cm|60×90 cm|90×135 cm,1,1,
,variation,MS-TARGA-USO-CORSIE-40X60-CM,Targa Uso Corsie Disponibili Fig. 414,1,0,visible,,,taxable,,1,,0,0,,,,,1,,,18.29,Segnaletica Verticale,,,,,,MS-TARGA-USO-CORSIE,,,,,,0,Taglia,40×60 cm,1,1,
,variation,MS-TARGA-USO-CORSIE-60X90-CM,Targa Uso Corsie Disponibili Fig. 414,1,0,visible,,,taxable,,1,,0,0,,,,,1,,,40.94,Segnaletica Verticale,,,,,,MS-TARGA-USO-CORSIE,,,,,,0,Taglia,60×90 cm,1,1,
,variation,MS-TARGA-USO-CORSIE-90X135-CM,Targa Uso Corsie Disponibili Fig. 414,1,0,visible,,,taxable,,1,,0,0,,,,,1,,,91.34,Segnaletica Verticale,,,,,,MS-TARGA-USO-CORSIE,,,,,,0,Taglia,90×135 cm,1,1,
,variable,MS-SEGNALI-TRIANGOLO-CANTIERE,Segnali Triangolo Cantiere Fondo Giallo — Lavori in Corso Fig. 383,1,0,visible,,,taxable,,1,,0,0,,,,,1,,,,Cantieristica,,,,,,,,,,,,0,Taglia,Lato 90 cm,1,1,
,variation,MS-SEGNALI-TRIANGOLO-CANTIERE-LATO-90-CM,Segnali Triangolo Cantiere Fondo Giallo — Lavori in Corso Fig. 383,1,0,visible,,,taxable,,1,,0,0,,,,,1,,,19.75,Cantieristica,,,,,,MS-SEGNALI-TRIANGOLO-CANTIERE,,,,,,0,Taglia,Lato 90 cm,1,1,
,variable,MS-SEGNALE-TRIANGOLO-CANTIERE,Segnale Triangolo Cantiere Fig. 384 — Strettoia Simmetrica,1,0,visible,,,taxable,,1,,0,0,,,,,1,,,,Cantieristica,,,https://epanza.com/1759-large_default/triangolo-lato-90-in-ferro-classe-1-fig-384-quot-strettoia-simmetrica-quot.jpg,,,,,,,,,0,Taglia,Lato 90 cm,1,1,
,variation,MS-SEGNALE-TRIANGOLO-CANTIERE-LATO-90-CM,Segnale Triangolo Cantiere Fig. 384 — Strettoia Simmetrica,1,0,visible,,,taxable,,1,,0,0,,,,,1,,,19.75,Cantieristica,,,https://epanza.com/1759-large_default/triangolo-lato-90-in-ferro-classe-1-fig-384-quot-strettoia-simmetrica-quot.jpg,,,MS-SEGNALE-TRIANGOLO-CANTIERE,,,,,,0,Taglia,Lato 90 cm,1,1,
,variable,MS-SEGNALE-TRIANGOLO-CANTIERE-2,Segnale Triangolo Cantiere Fig. 385 — Strettoia Asimmetrica Sinistra,1,0,visible,,,taxable,,1,,0,0,,,,,1,,,,Cantieristica,,,https://epanza.com/1767-large_default/triangolo-lato-90-in-ferro-classe-1-fig-385-quot-strettoia-asimmetrica-a-sinistra-quot.jpg,,,,,,,,,0,Taglia,Lato 90 cm,1,1,
,variation,MS-SEGNALE-TRIANGOLO-CANTIERE-2-LATO-90-CM,Segnale Triangolo Cantiere Fig. 385 — Strettoia Asimmetrica Sinistra,1,0,visible,,,taxable,,1,,0,0,,,,,1,,,19.75,Cantieristica,,,https://epanza.com/1767-large_default/triangolo-lato-90-in-ferro-classe-1-fig-385-quot-strettoia-asimmetrica-a-sinistra-quot.jpg,,,MS-SEGNALE-TRIANGOLO-CANTIERE-2,,,,,,0,Taglia,Lato 90 cm,1,1,
,variable,MS-SEGNALE-TRIANGOLO-CANTIERE-3,Segnale Triangolo Cantiere Fig. 386 — Strettoia Asimmetrica Destra,1,0,visible,,,taxable,,1,,0,0,,,,,1,,,,Cantieristica,,,https://epanza.com/1771-large_default/triangolo-lato-90-in-ferro-classe-1-fig-386-quot-strettoia-asimmetrica-a-destra-quot.jpg,,,,,,,,,0,Taglia,Lato 90 cm,1,1,
,variation,MS-SEGNALE-TRIANGOLO-CANTIERE-3-LATO-90-CM,Segnale Triangolo Cantiere Fig. 386 — Strettoia Asimmetrica Destra,1,0,visible,,,taxable,,1,,0,0,,,,,1,,,19.75,Cantieristica,,,https://epanza.com/1771-large_default/triangolo-lato-90-in-ferro-classe-1-fig-386-quot-strettoia-asimmetrica-a-destra-quot.jpg,,,MS-SEGNALE-TRIANGOLO-CANTIERE-3,,,,,,0,Taglia,Lato 90 cm,1,1,
,variable,MS-SEGNALE-TRIANGOLO-CANTIERE-4,Segnale Triangolo Cantiere Fig. 387 — Doppio Senso di Circolazione,1,0,visible,,,taxable,,1,,0,0,,,,,1,,,,Cantieristica,,,https://epanza.com/1775-large_default/triangolo-lato-90-in-ferro-classe-1-fig-387-quot-doppio-senso-di-circolazione-quot.jpg,,,,,,,,,0,Taglia,Lato 90 cm,1,1,
,variation,MS-SEGNALE-TRIANGOLO-CANTIERE-4-LATO-90-CM,Segnale Triangolo Cantiere Fig. 387 — Doppio Senso di Circolazione,1,0,visible,,,taxable,,1,,0,0,,,,,1,,,19.75,Cantieristica,,,https://epanza.com/1775-large_default/triangolo-lato-90-in-ferro-classe-1-fig-387-quot-doppio-senso-di-circolazione-quot.jpg,,,MS-SEGNALE-TRIANGOLO-CANTIERE-4,,,,,,0,Taglia,Lato 90 cm,1,1,
,variable,MS-SEGNALE-TRIANGOLO-CANTIERE-5,Segnale Triangolo Cantiere Fig. 388 — Altri Pericoli,1,0,visible,,,taxable,,1,,0,0,,,,,1,,,,Cantieristica,,,https://epanza.com/1779-large_default/triangolo-lato-90-in-ferro-classe-1-fig388-quot-altri-pericoli-quot.jpg,,,,,,,,,0,Taglia,Lato 90 cm,1,1,
,variation,MS-SEGNALE-TRIANGOLO-CANTIERE-5-LATO-90-CM,Segnale Triangolo Cantiere Fig. 388 — Altri Pericoli,1,0,visible,,,taxable,,1,,0,0,,,,,1,,,19.75,Cantieristica,,,https://epanza.com/1779-large_default/triangolo-lato-90-in-ferro-classe-1-fig388-quot-altri-pericoli-quot.jpg,,,MS-SEGNALE-TRIANGOLO-CANTIERE-5,,,,,,0,Taglia,Lato 90 cm,1,1,
,variable,MS-SEGNALE-TRIANGOLO-CANTIERE-6,Segnale Triangolo Cantiere Fig. 389 — Strada Deformata,1,0,visible,,,taxable,,1,,0,0,,,,,1,,,,Cantieristica,,,https://epanza.com/1783-large_default/triangolo-lato-90-in-ferro-classe-1-fig-389-quot-strada-deformata-quot.jpg,,,,,,,,,0,Taglia,Lato 90 cm,1,1,
,variation,MS-SEGNALE-TRIANGOLO-CANTIERE-6-LATO-90-CM,Segnale Triangolo Cantiere Fig. 389 — Strada Deformata,1,0,visible,,,taxable,,1,,0,0,,,,,1,,,19.75,Cantieristica,,,https://epanza.com/1783-large_default/triangolo-lato-90-in-ferro-classe-1-fig-389-quot-strada-deformata-quot.jpg,,,MS-SEGNALE-TRIANGOLO-CANTIERE-6,,,,,,0,Taglia,Lato 90 cm,1,1,
,variable,MS-SEGNALE-TRIANGOLO-CANTIERE-7,Segnale Triangolo Cantiere Fig. 390 — Materiale Instabile,1,0,visible,,,taxable,,1,,0,0,,,,,1,,,,Cantieristica,,,https://epanza.com/1787-large_default/triangolo-lato-90-in-ferro-classe-1-fig-390-quot-materiale-instabile-sulla-strada-quot.jpg,,,,,,,,,0,Taglia,Lato 90 cm,1,1,
,variation,MS-SEGNALE-TRIANGOLO-CANTIERE-7-LATO-90-CM,Segnale Triangolo Cantiere Fig. 390 — Materiale Instabile,1,0,visible,,,taxable,,1,,0,0,,,,,1,,,19.75,Cantieristica,,,https://epanza.com/1787-large_default/triangolo-lato-90-in-ferro-classe-1-fig-390-quot-materiale-instabile-sulla-strada-quot.jpg,,,MS-SEGNALE-TRIANGOLO-CANTIERE-7,,,,,,0,Taglia,Lato 90 cm,1,1,
,variable,MS-SEGNALE-TRIANGOLO-CANTIERE-8,Segnale Triangolo Cantiere Fig. 404 — Semaforo,1,0,visible,,,taxable,,1,,0,0,,,,,1,,,,Cantieristica,,,https://epanza.com/1791-large_default/triangolo-lato-90-in-ferro-classe-1-fig-404-quot-semaforo-quot.jpg,,,,,,,,,0,Taglia,Lato 90 cm,1,1,
,variation,MS-SEGNALE-TRIANGOLO-CANTIERE-8-LATO-90-CM,Segnale Triangolo Cantiere Fig. 404 — Semaforo,1,0,visible,,,taxable,,1,,0,0,,,,,1,,,19.75,Cantieristica,,,https://epanza.com/1791-large_default/triangolo-lato-90-in-ferro-classe-1-fig-404-quot-semaforo-quot.jpg,,,MS-SEGNALE-TRIANGOLO-CANTIERE-8,,,,,,0,Taglia,Lato 90 cm,1,1,
,variable,MS-CARTELLO-TRIANGOLO-PERICOLO,"Cartello Triangolo Pericolo — per figura (lato 90 cm, Classe 1)",1,0,visible,,,taxable,,1,,0,0,,,,,1,,,,Segnaletica Verticale,,,https://epanza.com/4199-large_default/cartello-stradale-strada-deformata-triangolo-lato-90-cm-classe-1-fig-ii-1-ferro-zincato.jpg,,,,,,,,,0,Taglia,Strada deformata Fig. II/1|Dosso Fig. II/2|Cunetta Fig. II/3|Curva pericolosa destra Fig. 4|Curva pericolosa sinistra Fig. II/5|Doppia curva prima a destra Fig. II.6|Doppia curva prima a sinistra Fig. II.7|Passaggio a livello con barriere Fig. II.8|Passaggio a livello senza barriere Fig. II.9|Attraversamento tramviario Fig. 12|Attraversamento pedonale Fig. 13|Attraversamento ciclabile Fig. 14|Salita ripida Fig. 16|Strettoia simmetrica Fig. 17|Strettoia asimmetrica sinistra Fig. 18|Strettoia asimmetrica destra Fig. 19|Ponte mobile Fig. 20|Banchina pericolosa Fig. 21|Strada sdrucciolevole Fig. 22|Bambini Fig. 23|Animali domestici vaganti Fig. 24|Animali selvatici vaganti Fig. 25|Doppio senso di circolazione Fig. 26|Circolazione rotatoria Fig. 27|Sbocco su molo o argine Fig. 28|Caduta massi SX Fig. 30b|Semaforo Fig. 31a|Aeromobili Fig. 32|Forte vento laterale Fig. 33|Pericolo di incendio Fig. 34|Altri pericoli Fig. 35|Intersezione con precedenza a destra Fig. 40 — **Classe 2**|Intersezione con diritto di precedenza Fig. 43a|Intersezione a T precedenza dx Fig. 43/b|Intersezione a T precedenza sx Fig. 43/c|Confluenza a destra Fig. 43/d|Confluenza a sinistra Fig. 43/e|Dare precedenza Fig. 36 — **Classe 2**,1,1,
,variation,MS-CARTELLO-TRIANGOLO-PERICOLO-STRADA-DEFORMATA-FIG,"Cartello Triangolo Pericolo — per figura (lato 90 cm, Classe 1)",1,0,visible,,,taxable,,1,,0,0,,,,,1,,,27.15,Segnaletica Verticale,,,https://epanza.com/4199-large_default/cartello-stradale-strada-deformata-triangolo-lato-90-cm-classe-1-fig-ii-1-ferro-zincato.jpg,,,MS-CARTELLO-TRIANGOLO-PERICOLO,,,,,,0,Taglia,Strada deformata Fig. II/1,1,1,
